Source,Target,Type,Id,Label,timeset,Weight,interval
1,30,Directed,96,,,1,
1,31,Directed,97,,,1,
1,32,Directed,98,,,1,
1,47,Directed,99,,,1,
1,38,Directed,100,,,1,
2,33,Directed,101,,,1,
2,34,Directed,102,,,1,
2,35,Directed,103,,,1,
2,36,Directed,104,,,1,
3,31,Directed,105,,,1,
3,37,Directed,106,,,1,
4,31,Directed,107,,,1,
5,38,Directed,108,,,1,
6,32,Directed,109,,,1,
6,39,Directed,110,,,1,
7,31,Directed,111,,,1,
7,37,Directed,112,,,1,
8,35,Directed,113,,,1,
8,40,Directed,114,,,1,
9,31,Directed,115,,,1,
9,30,Directed,116,,,1,
9,43,Directed,117,,,1,
9,32,Directed,118,,,1,
9,41,Directed,119,,,1,
10,45,Directed,156,,,1,
10,42,Directed,120,,,1,
11,36,Directed,121,,,1,
12,32,Directed,122,,,1,
13,43,Directed,123,,,1,
14,35,Directed,124,,,1,
14,44,Directed,125,,,1,
15,41,Directed,126,,,1,
16,30,Directed,127,,,1,
16,45,Directed,128,,,1,
16,38,Directed,129,,,1,
17,46,Directed,130,,,1,
18,36,Directed,131,,,1,
19,31,Directed,132,,,1,
19,30,Directed,133,,,1,
20,31,Directed,134,,,1,
21,35,Directed,135,,,1,
22,35,Directed,136,,,1,
22,42,Directed,137,,,1,
23,31,Directed,138,,,1,
24,31,Directed,139,,,1,
24,47,Directed,140,,,1,
24,41,Directed,141,,,1,
25,31,Directed,142,,,1,
25,37,Directed,143,,,1,
26,31,Directed,145,,,1,
26,47,Directed,146,,,1,
26,41,Directed,147,,,1,
26,30,Directed,148,,,1,
26,42,Directed,149,,,1,
27,35,Directed,150,,,1,
27,31,Directed,151,,,1,
28,35,Directed,152,,,1,
29,41,Directed,153,,,1,
29,30,Directed,154,,,1,
29,31,Directed,155,,,1,
